user_id,query,domain,description,engine,emails,phones,dateOfSearch
1,"реактор для косметики купить, носки вязанные купить",https://www.rollingmoto.ru,"Деформированные в результате неправильной носки, сушки, потерявшие качество ... Любые повреждения (к ним относятся изменения свойств мембраны), связанные ...",google,"['info@rollingmoto.ru', 'pr@rollingmoto.ru']","['+74951208866', '+74993221351', '+78003511356', '+78005556698']",30-08-2025 10:24:38
1,"реактор для косметики купить, носки вязанные купить",https://asiaoptom.com,... носки Мужские плавательные шорты Мужские рубашки Мужские спортивные костюмы ... купить Оборудование и материалы для реакций оптом купить Реакторные ...,google,['info@asiaoptom.com'],"['+78007006589', '+79666462792']",30-08-2025 10:24:38
1,"реактор для косметики купить, носки вязанные купить",https://toomanygifts.ru,Наборы для ухода за обувью · Средства личной гигиены · Фоторамки и фотоальбомы ... Носки · Вязаные изделия · Перчатки и варежки · Детская одежда · Шляпы · Жилеты ...,google,['info@toomanygifts.ru'],"['+73530942569', '+73850314578', '+73882259045', '+73885083690', '+74110172604', '+74110468470', '+74152835262', '+74276451779', '+74956074937', '+74997972955', '+77602271555', '+78005550643', '+78362089429', '+78463066906', '+78652644203', '+78660216069', '+78661323073', '+78716302025', '+79168615115', '+79203700733', '+79277170046', '+79598753874', '+79653603666', '+79766569748', '+79772938215', '+79907219314', '+79927521111', '+79961821632', '+79991617878']",30-08-2025 10:24:38
1,"реактор для косметики купить, носки вязанные купить",https://ru.fish,Средства для ремонта и ухода · Термобелье · Тубуса для рыболовных снастей · Для вязания мушек ... Отзывы; Как купить; Оплата; Доставка.,google,['info@ru.fish'],['+79244044440'],30-08-2025 10:24:38
1,"реактор для косметики купить, носки вязанные купить",https://pike.ru,Купить флисовую одежду для охоты и рыбалки и другого активного отдыха ... Шорты Носки Косметика для путешествий Уход за одеждой Инструменты · Квадроцикл.,google,['info@pike.ru'],['+74957766503'],30-08-2025 10:24:38
1,"реактор для косметики купить, носки вязанные купить",https://urbanator.ru,Капюшон-маска MIRBA BALACLAVA-ROOTS. Достаточно. 3 000 руб./шт. Варианты цен. 3 000 руб./шт. Подробности. В корзину В корзине. Купить в 1 клик.,google,['sales@urbanator.ru'],"['+74993913920', '+79267761520']",30-08-2025 10:24:38
1,"реактор для косметики купить, носки вязанные купить",https://terraincognita.com.ua,"Вкладыши Спальные мешки ⚡ Фирменный магазин Terra Incognita. Фирменное туристическое снаряжение для ярких путешествий. Товары для туризма, альпинизма и ...",google,['shop@terraincognita.com.ua'],[],30-08-2025 10:24:38
1,"реактор для косметики купить, носки вязанные купить",https://base.garant.ru,Купить систему ГАРАНТ Получить демо-доступ Узнать стоимость Информационный ... носки). Плосковязальные машины включают в себя обычные вязальные машины ...,google,['info@garant.ru'],"['+77718013048', '+78002008888']",30-08-2025 10:24:38
1,"реактор для косметики купить, носки вязанные купить",https://moderam.ru,... реактора 3260|Оператор релаксационномотального агрегата 3261|Оператор ... вязанного носка. Муж рекомендует. Будьте в курсе наших акций и новостей. Я даю ...,google,['hello@moderam.spb.ru'],"['+78123203006', '+79232017200']",30-08-2025 10:24:38
1,"реактор для косметики купить, носки вязанные купить",https://t-j.ru,"Тогда я нашел инструкции в интернете, оливковое масло купил в продуктовом магазине, эфирные масла в аптеке, а щелочь заказал у поставщиков химии, привозящих на ...",google,['support@t-j.ru'],"['+74242119070', '+74262392591', '+74931648514', '+74984931138']",30-08-2025 10:24:38
1,"реактор для косметики купить, носки вязанные купить",https://cdek.shopping,"Широкий ассортимент товаров бренда New Rock по выгодным ценам и с доставкой до двери из США, Европы и Азии.",google,['info@cdek.shopping'],[],30-08-2025 10:24:38
1,"реактор для косметики купить, носки вязанные купить",https://moizver.com,"Jan 20, 2023 ... В статье мы расскажем об особенностях ориентальных кошек: внешности, чертах характера, моментах, связанных со здоровьем. Вы узнаете, как ...",google,['moizver59@yandex.ru'],"['+73422700505', '+73422700654', '+79999999999']",30-08-2025 10:24:38
1,"реактор для косметики купить, носки вязанные купить",https://www.centrmag.ru,Физика реакторов для персонала АЭС с ВВЭР и РБМК ... В наличии Цена за шт. 1240. Итого: 1240.00. Количество.,google,['info@centrmag.ru'],"['+74953746762', '+78007072174']",30-08-2025 10:24:38
1,"реактор для косметики купить, носки вязанные купить",https://killa.com.ua,Снаряжение для скалолазания ▶️ Интернет магазин Killa ✔️ Широкий ассортимент ✔️ Лучшие цены ⚡ Товар в наличии ⭐ Снаряжение для альпинизма купить прямо сейчас ...,google,['killashop23@gmail.com'],"['+380637635216', '+380967980043', '+380975460772', '+380990604126']",30-08-2025 10:24:38
1,"реактор для косметики купить, носки вязанные купить",https://www.regfile.ru,"... косметики, средств для загара и после загара, средств для маникюра и ... - производство ядерных реакторов, кроме устройств для разделения изотопов, в том числе ...",google,['info@regfile.ru'],['+74952155330'],30-08-2025 10:24:38
1,"реактор для косметики купить, носки вязанные купить",https://www.dtod.ru,"При декларировании чулочно-носочных изделий обращайте внимание на систему единиц учета, принятую изготовителем/поставщиком. В России носки считают и заявляют в ...",google,['info@dtod.ru'],['+74956176116'],30-08-2025 10:24:38
1,"реактор для косметики купить, носки вязанные купить",https://armstat.am,"6114 Предметы одежды прочие трикотажные машинного или ручного вязания, 6115 Колготы, чулки, гольфы, носки и подследники и прочие чулочно-носочные изделия ...",google,"['39123345@e-citizen.am', 'info@armstat.am', 'webadmin@armstat.am']",[],30-08-2025 10:24:38
1,"реактор для косметики купить, носки вязанные купить",https://www.istu.edu,"... реакторе с автоматическим перемешиванием. В качестве окислителя используют ... косметики «Барис», объем 50 мл. Образец 2 – Увлажняющий дневной крем для ...",google,"['cpk@istu.edu', 'info@istu.edu']","['+73952405000', '+73952405009', '+73952405100', '+73952405405', '+78001005405']",30-08-2025 10:24:38
1,"реактор для косметики купить, носки вязанные купить",https://psk.expert,"Исходя из нормативных требований, соотношении цена-качество и оценок экспертов и пользователей был составлен рейтинг 15 лучших противогазов на 2021 год.",google,['zakaz@psk.expert'],"['+74951033030', '+79999999999']",30-08-2025 10:24:38
1,"реактор для косметики купить, носки вязанные купить",https://www.sputnik8.com,"250 экскурсий в Мурманске и области с лучшими гидами от 935 ₽. ⭐ Реальные отзывы туристов, расписание туров на август-сентябрь, онлайн бронирование.",google,"['gid@sputnik8.com', 'hi@sputnik8.com', 'igor@sputnik8.com', 'legal@sputnik8.com', 'pr@sputnik8.com']","['+74991105266', '+78124073652', '+78625552723']",30-08-2025 10:24:38
1,"реактор для косметики купить, носки вязанные купить",https://www.riatomsk.ru,"Feb 15, 2016 ... В этой подборке мы постарались совместить юмор и практичность, чтобы подарок напоминал об искренней заботе, а не был куплен для галочки. Что ...",google,['info@tomskria.ru'],[],30-08-2025 10:24:38
