user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,этикетки из сульфитной бумаги производим,225,https://design-pack.biz,"Мы производим этикетки на бутылки, банки и другие товары.",yandex,"['info@design-pack.biz', 'manager1@design-pack.biz', 'olga@design-pack.biz']","['+375173367051', '+375296817788', '+375336817788']",01-10-2025 01:03:50
3,этикетки из сульфитной бумаги производим,225,https://yes-upak.ru,"Печать флексо, цифровая, офсетная. Полиграфия. Широкий ассортимент этикеток: из различных видов бумаги, пленки, а также синтетические и термоусадочные этикетки. Сухие этикетки изготавливаются из полипропилена или бумаги. Минимальный заказ: от 5000 этикеток, сроки и условия индивидуальны для заказа.",yandex,['info@yes-upak.ru'],"['+74951222025', '+78126799514', '+78314222594']",01-10-2025 01:03:50
3,этикетки из сульфитной бумаги производим,225,https://price-etiketka.ru,"Собственное производство этикеток без клея . Материал: этикеточная бумага, щелоче-влагостойкая этикеточная бумага 71/гр/м2.",yandex,"['info@price-etiketka.ru', 'msk@price-etiketka.ru']","['+73432279538', '+73842780028', '+74722256916', '+74955874480', '+78126789520', '+78314351388', '+79781261651', '+79999999999']",01-10-2025 01:03:50
3,этикетки из сульфитной бумаги производим,225,https://printoptima.ru,"Тонкая бумага, изготовленная из бумажной массы жирного помола, с ограниченной жиропроницаемостью и высокой механической прочностью, для упаковывания пищевых продуктов.",yandex,['info@printoptima.ru'],['+74956693569'],01-10-2025 01:03:50
3,этикетки из сульфитной бумаги производим,225,https://orfey-s.ru,"Изготавливаемые этикетки (бумажные либо наклейки) подходят для производителей алкогольной продукции (шампанское, вино, водка, пиво, коньяк), напитков (сок, вода), бытовой химии, пищевой отрасли (торты, масло, чай, яйца), текстильной промышленности (одежда, обувь), парфюмерных продуктов, фармацевтической отрасли, химического производства и многих других.",yandex,['zakaz@orfey-s.ru'],['+78652501116'],01-10-2025 01:03:50
3,этикетки из сульфитной бумаги производим,225,https://tkpm.ru,"Производство силиконизированных антиадгезионных бумаг – относительно новое направление в бумажной промышленности, которое получило мощное развитие со второй половины двадцатого столетия по мере расширения производства липких продуктов и самоклеящихся материалов. Силиконизированные бумаги, как разделительные подложки и упаковка, производятся для следующих конечных продуктов",yandex,['mistral@tkpm.ru'],"['+74957393572', '+74957393576', '+78005503573']",01-10-2025 01:03:50
3,этикетки из сульфитной бумаги производим,225,https://et7.ru,"Печать наклеек этикеток. Три печатные линии замкнутого цикла и выбор из более 200 материалов помогут получить уникальную этикетку, которая подчеркнёт достоинства продукта и выделит из конкурентов.",yandex,['info@et7.ru'],['+74952118738'],01-10-2025 01:03:50
3,этикетки из сульфитной бумаги производим,225,https://etiketki24.ru,"Сухая этикетка может быть создана как на основе обычной бумаги, так и на металлизированной, что гарантирует не только повышенную прочность к разного рода воздействиям, но и более привлекательный внешний вид. Кроме того, предлагаем вам тиснение фольгой и конгрев, производство этикеток с вырубкой, лаковым покрытием, нанесением скретч-слоя, который можно стирать, и многое другое.",yandex,['info@etiketki24.ru'],"['+74959259881', '+79031035599', '+79031061615', '+79035602666', '+79057979961', '+79107121667', '+79150030667', '+79163968932', '+79167395440', '+79701165409', '+79777739359']",01-10-2025 01:03:50
3,этикетки из сульфитной бумаги производим,225,https://upakovkatorg.ru,,yandex,"['astrahan@upakovkatorg.ru', 'balashiha@upakovkatorg.ru', 'barn@upakovkatorg.ru', 'bel@upakovkatorg.ru', 'bryansk@upakovkatorg.ru', 'chel@upakovkatorg.ru', 'chita@upakovkatorg.ru', 'ekb@upakovkatorg.ru', 'habarovsk@upakovkatorg.ru', 'ij@upakovkatorg.ru', 'info@upakovkatorg.ru', 'irkutsk@upakovkatorg.ru', 'jakutsk@upakovkatorg.ru', 'kazan@upakovkatorg.ru', 'kem@upakovkatorg.ru', 'kirov@upakovkatorg.ru', 'korolev@upakovkatorg.ru', 'krasnodar@upakovkatorg.ru', 'krasnoy@upakovkatorg.ru', 'krym@upakovkatorg.ru', 'kursk@upakovkatorg.ru', 'lipeck@upakovkatorg.ru', 'lyubercy@upakovkatorg.ru', 'mytishchi@upakovkatorg.ru', 'nch@upakovkatorg.ru', 'nn@upakovkatorg.ru', 'novk@upakovkatorg.ru', 'nsk@upakovkatorg.ru', 'omsk@upakovkatorg.ru', 'orenburg@upakovkatorg.ru', 'penza@upakovkatorg.ru', 'perm@upakovkatorg.ru', 'rnd@upakovkatorg.ru', 'ryazan@upakovkatorg.ru', 'samara@upakovkatorg.ru', 'saratov@upakovkatorg.ru', 'sochi@upakovkatorg.ru', 'spb@upakovkatorg.ru', 'stavropol@upakovkatorg.ru', 'tol@upakovkatorg.ru', 'tomsk@upakovkatorg.ru', 'tula@upakovkatorg.ru', 'tumen@upakovkatorg.ru', 'tver@upakovkatorg.ru', 'ufa@upakovkatorg.ru', 'ul@upakovkatorg.ru', 'ulan-ude@upakovkatorg.ru', 'vladivostok@upakovkatorg.ru', 'volgograd@upakovkatorg.ru', 'voroneg@upakovkatorg.ru', 'yaroslavl@upakovkatorg.ru']","['+73012379812', '+73022217827', '+73412271648', '+73422584460', '+73432279686', '+73452568574', '+73472249701', '+73512143690', '+73532387642', '+73812790472', '+73822609067', '+73833499281', '+73842780691', '+73843328882', '+73852556489', '+73912347044', '+73952436271', '+74112318812', '+74212358783', '+74232390689', '+74712349419', '+74722232685', '+74732602067', '+74742286796', '+74822452437', '+74832729897', '+74852208478', '+74872338249', '+74912202133', '+74956692241', '+74986815813', '+74986815850', '+74986815960', '+74986829150', '+74996088815', '+77172696791', '+78126789722', '+78126789764', '+78314351809', '+78332255609', '+78412458107', '+78422214188', '+78435280767', '+78442968845', '+78452694237', '+78462500329', '+78482379388', '+78512442899', '+78552253087', '+78619914716', '+78624440425', '+78632850835', '+78652257713', '+78692999628', '+79787094775', '+79999999999']",01-10-2025 01:03:50
3,этикетки из сульфитной бумаги производим,225,https://post-pak.ru,Офисная бумага. Этикетки А4 пачка 100 л.,yandex,['mail@post-pak.ru'],"['+74996474813', '+78123394596', '+78129261614', '+79119261614']",01-10-2025 01:03:50
3,этикетки из сульфитной бумаги производим,225,https://gottyka.ru,"Сухая этикетка, бумажная этикетка, этикетка с вырубкой, этикетка с тиснением форьгой, выборочная УФ лакировка, матовый лак.",yandex,['info@gottyka.ru'],['+74956646489'],01-10-2025 01:03:50
3,этикетки из сульфитной бумаги производим,225,https://mylabel.pro,Термочувствительная бумага используется с целью печати этикеток для розничной торговли и хранения на складах.,yandex,['info@mylabel.pro'],['+74952151544'],01-10-2025 01:03:50
3,этикетки из сульфитной бумаги производим,225,https://checkart.ru,"Печать этикеток, ООО «Чекарт» изготавливает самоклеющиеся этикетки, термо этикетки, термотрансферные этикетки, картонные бирки, печать наклеек, бирок, стикеров.",yandex,"['checkart@co.ru', 'email@example.com', 'print.checkart@gmail.com']","['+74955141997', '+79645300592']",01-10-2025 01:03:50
3,этикетки из сульфитной бумаги производим,225,https://argosint.ru,"Для изготовления наклеек бумага используется значительно чаще, поскольку она недорогая, доступная и легко поддается вторичной переработке. Предпочтение бумажной основе также обуславливается способностью этого материала удовлетворять широкий спектр требований к маркировочной продукции. В зависимости от условий, в которых будут находиться этикетированные товары, используются следующие типы бумаги для наклеек",yandex,['office.argos@mail.ru'],"['+74993170655', '+74993179671']",01-10-2025 01:03:50
3,этикетки из сульфитной бумаги производим,225,https://nextprint.su,"Профессиональное изготовление сухих этикеток большими и малыми тиражами. Собственное производство, контроль качества, доставка по РФ.",yandex,['info@nextprint.su'],['+74956646489'],01-10-2025 01:03:50
3,этикетки из сульфитной бумаги производим,225,https://solvipak.ru,производство этикеток производитель этикеток. Виды наших этикеток.,yandex,['sales@solvipak.ru'],"['+74955405304', '+77717107790']",01-10-2025 01:03:50
